"teacher professional development" -- "mathematics education"
"innovation studies" -- "economic geography"
"hydrometeorology" -- "hydrology"
"atmospheric science" -- "climate science"
"atmospheric science" -- "meteorology"
"inorganic chemistry" -- "bioinorganic chemistry"
"inorganic chemistry" -- "catalysis"
"inorganic chemistry" -- "coordination chemistry"
"inorganic chemistry" -- "materials chemistry"
"venture capital" -- "private equity"
"venture capital" -- "entrepreneurship"
"bacterial pathogenesis" -- "microbiology"
"fluid mechanics" -- "transport phenomena"
"fluid mechanics" -- "aerodynamics"
"fluid mechanics" -- "granular flow"
"fluid mechanics" -- "turbulence"
"fluid mechanics" -- "biofluids"
"fluid mechanics" -- "heat transfer"
"fluid mechanics" -- "aeroacoustics"
"fluid mechanics" -- "flow control"
"fluid mechanics" -- "piv"
"fluid mechanics" -- "vortex dynamics"
"fluid mechanics" -- "instability"
"spatial audio" -- "audio signal processing"
"sales" -- "marketing"
"low power design" -- "embedded systems"
"book history" -- "digital humanities"
"atmosphere" -- "climate"
"regional" -- "urban economics"
"law" -- "private law"
"law" -- "courts"
"law" -- "legal history"
"law" -- "intellectual property law"
"law" -- "criminal law"
"law" -- "economics"
"law" -- "legal education"
"law" -- "property"
"law" -- "contracts"
"law" -- "society"
"kinesiology" -- "biomechanics"
"physical anthropology" -- "forensic anthropology"
"surface engineering" -- "tribology"
"instruction" -- "learning"
"cell culture" -- "tissue engineering"
"cellular biology" -- "molecular"
"its applications" -- "machine learning"
"photography" -- "history"
"hearing loss" -- "aging"
"media studies" -- "communication"
"media studies" -- "journalism studies"
"media studies" -- "cultural studies"
"media studies" -- "communication studies"
"media studies" -- "television studies"
"disease ecology" -- "conservation biology"
"disease ecology" -- "ecoimmunology"
"pharmacy" -- "pharmacology"
"health geography" -- "gis"
"food webs" -- "ecology"
"testing" -- "debugging"
"testing" -- "software engineering"
"empathy" -- "emotion"
"digital culture" -- "social media"
"water quality" -- "estuaries"
"water quality" -- "hydrology"
"water quality" -- "nutrient management"
"dyslexia" -- "learning disabilities"
"dyslexia" -- "reading"
"linguistics" -- "psycholinguistics"
"linguistics" -- "lexicography"
"linguistics" -- "sign language"
"linguistics" -- "phonetics"
"linguistics" -- "sociolinguistics"
"linguistics" -- "translation studies"
"linguistics" -- "language documentation"
"linguistics" -- "semiotics"
"linguistics" -- "translation"
"linguistics" -- "french"
"linguistics" -- "spanish"
"linguistics" -- "syntax"
"international migration" -- "ethnicity"
"user-centered design" -- "human-computer interaction"
"materials characterization" -- "materials science"
"plasmonics" -- "eels"
"plasmonics" -- "photonics"
"plasmonics" -- "nano-optics"
"plasmonics" -- "nanofabrication"
"plasmonics" -- "nanophotonics"
"plasmonics" -- "biosensing"
"plasmonics" -- "metamaterials"
"plasmonics" -- "sers"
"plasmonics" -- "optical trapping"
"plasmonics" -- "sensing"
"hydroclimatology" -- "hydrology"
"gas turbines" -- "combustion"
"network optimization" -- "operations research"
"protein evolution" -- "bioinformatics"
"literatura" -- "art"
"nondestructive evaluation" -- "structural health monitoring"
"bayesian analysis" -- "machine learning"
"mathematics" -- "mathematical physics"
"mathematics" -- "physics"
"language processing" -- "speech"
"star formation" -- "astrophysics"
"electrophysiology" -- "cardiology"
