"perceptual decision making" -- "attention"
"molecular layer deposition" -- "atomic layer deposition"
"thermometry" -- "thermoluminescence"
"solar thermal energy" -- "fluid mechanics"
"adpll" -- "cmos"
"biofabrication" -- "tissue engineering"
"digital fabrication" -- "form finding"
"digital fabrication" -- "mass customization"
"digital fabrication" -- "architecture"
"masw" -- "seismic hazard"
"random matrix" -- "machine learning"
"bees" -- "pollination"
"applied algorithms" -- "databases"
"international economics" -- "international business cycles"
"international economics" -- "multinational companies"
"international economics" -- "macroeconomics"
"international economics" -- "economics of natural resources"
"international economics" -- "public sector economics"
"international economics" -- "european economics"
"international economics" -- "economic growth development"
"international economics" -- "wage inequality"
"maritime history" -- "early modern history"
"maritime history" -- "chinese overseas"
"maritime history" -- "asian history"
"maritime history" -- "maritime policy"
"maritime history" -- "eighteenth century history"
"inżynieria środowiska" -- "beton"
"taste" -- "ingestive behavior"
"taste" -- "olfaction"
"taste" -- "smell"
"parallel data processing" -- "mapreduce"
"dicom" -- "pacs"
"formal political theory" -- "political economy"
"axonal transport" -- "cell biology"
"wood" -- "natural fiber composites"
"wood" -- "composites"
"high-dimensional data" -- "machine learning"
"women s history" -- "history of medicine"
"computational cell biology" -- "applied mathematics"
"military studies" -- "medical"
"environmental research" -- "air pollution"
"microfabrication" -- "mems sensor"
"microfabrication" -- "sensor application"
"microfabrication" -- "mems"
"radar target recognition" -- "kernel methods"
"sexuality" -- "reproductive health"
"sexuality" -- "gender"
"sexuality" -- "sex work"
"sexuality" -- "african literature"
"sexuality" -- "intimacy"
"sexuality" -- "gay men"
"sexuality" -- "criminal"
"sexuality" -- "lgbtq health"
"английский язык" -- "филология"
"suffering" -- "mixed methods"
"networked control systems" -- "stochastic hybrid systems"
"networked control systems" -- "multi-agent systems"
"networked control systems" -- "event-triggered control"
"networked control systems" -- "distributed real-time systems"
"networked control systems" -- "hybrid dynamical systems"
"maternity care" -- "midwifery"
"maternity care" -- "systematic entomology"
"transportation infrastructure" -- "alternative fuels"
"human anatomy" -- "physiology"
"energy harvesting devices" -- "piezoelectric materials"
"subduction" -- "geology"
"canadian history" -- "environmental history"
"patrimoine" -- "tourism"
"green materials" -- "sustainability"
"cognitive radio" -- "probabilistic"
"cognitive radio" -- "software radio"
"cognitive radio" -- "cooperative communications"
"cognitive radio" -- "multiuser mimo"
"cognitive radio" -- "wireless communications"
"cognitive radio" -- "parallel distributed computing"
"cognitive radio" -- "spectrum sensing"
"cognitive radio" -- "son"
"cognitive radio" -- "sharing"
"cognitive radio" -- "dynamic spectrum access"
"cognitive radio" -- "hetnets"
"cognitive radio" -- "ultrawideband"
"cognitive radio" -- "wireless positioning"
"cognitive radio" -- "c-ran"
"cognitive radio" -- "radio resource allocation"
