"outcomes" -- "depression"
"ecohydrology" -- "hydrology"
"semantics" -- "pragmatics"
"semantics" -- "syntax"
"chemical sensors" -- "electrochemistry"
"federalism" -- "public policy"
"networked systems" -- "cloud computing"
"molecular ecology" -- "population genetics"
"grid computing" -- "cloud computing"
"women s health" -- "reproductive health"
"operations research" -- "decision analysis"
"operations research" -- "integer programming"
"operations research" -- "mathematical optimization"
"operations research" -- "network optimization"
"operations research" -- "optimization"
"operations research" -- "management science"
"operations research" -- "supply chain management"
"operations research" -- "industrial engineering"
"operations research" -- "combinatorial optimization"
"operations research" -- "mathematical programming"
"operations research" -- "metaheuristics"
"operations research" -- "stochastic programming"
"operations research" -- "scheduling"
"operations research" -- "heuristics"
"operations research" -- "stochastic optimization"
"operations research" -- "decision science"
"international economics" -- "macroeconomics"
"political theory" -- "democracy"
"political theory" -- "political philosophy"
"robot vision" -- "computer vision"
"modernism" -- "literary theory"
"multi-objective optimization" -- "evolutionary computation"
"plasmonics" -- "nanophotonics"
"plasmonics" -- "sensing"
"plasmonics" -- "nano-optics"
"plasmonics" -- "metamaterials"
"plasmonics" -- "nanofabrication"
"plasmonics" -- "biosensing"
"plasmonics" -- "photonics"
"plasmonics" -- "sers"
"affect" -- "emotion"
"biometrics" -- "pattern recognition"
"ecological economics" -- "environmental economics"
"intellectual disability" -- "autism spectrum disorder"
"intellectual disability" -- "autism"
"human computation" -- "crowdsourcing"
"actuarial science" -- "statistics"
"sexuality" -- "reproductive health"
"sexuality" -- "gender"
"cold atoms" -- "quantum optics"
"molecular virology" -- "immunology"
"zooarchaeology" -- "archaeology"
"optimisation" -- "artificial intelligence"
"anesthesia" -- "pain"
"human-computer interaction" -- "computer music"
"human-computer interaction" -- "computer supported cooperative work"
"human-computer interaction" -- "artificial intelligence"
"human-computer interaction" -- "interaction design"
"human-computer interaction" -- "eye tracking"
"human-computer interaction" -- "accessibility"
"human-computer interaction" -- "mobile applications"
"human-computer interaction" -- "social computing"
"human-computer interaction" -- "serious games"
"human-computer interaction" -- "information visualization"
"human-computer interaction" -- "user experience"
"human-computer interaction" -- "ubiquitous computing"
"human-computer interaction" -- "assistive technology"
"nephrology" -- "transplantation"
"knowledge management" -- "information management"
"knowledge management" -- "innovation"
"knowledge management" -- "organizational learning"
"optical networks" -- "optical communications"
"information economics" -- "game theory"
"microbial pathogenesis" -- "microbiology"
"cognitive radio" -- "wireless communications"
"cognitive radio" -- "cooperative communications"
"ndt" -- "ultrasonics"
"multisensory integration" -- "perception"
"inteligencia artificial" -- "robótica"
"research" -- "education"
"limnology" -- "ecology"
"limnology" -- "aquatic ecology"
"graphene" -- "nanoelectronics"
"graphene" -- "carbon nanotubes"
"graphene" -- "2d materials"
"graphene" -- "nanotechnology"
"graphene" -- "raman spectroscopy"
"graphene" -- "two-dimensional materials"
"theoretical chemistry" -- "quantum dynamics"
"theoretical chemistry" -- "computational chemistry"
"materials modelling" -- "computational mechanics"
"dynamics" -- "control"
"dynamics" -- "vibration"
"cultural sociology" -- "political sociology"
"electricity markets" -- "smart grid"
"polymer nanocomposites" -- "polymer blends"
"inflammation" -- "immunology"
"inflammation" -- "macrophages"
"inflammation" -- "innate immunity"
"inflammation" -- "second interest"
"inflammation" -- "oxidative stress"
"inflammation" -- "sepsis"
"inflammation" -- "fibrosis"
"health services" -- "public health"
"nanotechnology" -- "semiconductors"
"nanotechnology" -- "nanoscience"
"nanotechnology" -- "surface chemistry"
"nanotechnology" -- "advanced materials"
"nanotechnology" -- "electronic materials"
"nanotechnology" -- "afm"
"nanotechnology" -- "biosensors"
"nanotechnology" -- "solar cells"
"nanotechnology" -- "gas sensors"
"nanotechnology" -- "electronic devices"
"nanotechnology" -- "nanopore"
"nanotechnology" -- "nanowires"
"nanotechnology" -- "drug delivery"
"nanotechnology" -- "materials engineering"
"nanotechnology" -- "mems"
"nanotechnology" -- "electronics"
"nanotechnology" -- "carbon nanomaterials"
"nanotechnology" -- "bioimaging"
"nanotechnology" -- "materials science"
"population biology" -- "ecology"
"logistics" -- "transportation"
"logistics" -- "supply chain management"
"logistics" -- "supply chain"
"geophysical fluid dynamics" -- "physical oceanography"
"biomedical engineering" -- "medical devices"
"biomedical engineering" -- "neuroscience"
"biomedical engineering" -- "neural engineering"
"statistical computing" -- "machine learning"
"mobile networks" -- "wireless"
"rural development" -- "agriculture"
"digital preservation" -- "digital libraries"
"fungi" -- "evolution"
"remediation" -- "environmental engineering"
"hospitality" -- "tourism"
"weather" -- "climate"
"online social networks" -- "privacy"
"media" -- "communication"
"media" -- "film"
"media" -- "popular music"
"wetlands" -- "biogeochemistry"
"combustion" -- "gas turbines"
"combustion" -- "chemical kinetics"
"combustion" -- "cfd"
"combustion" -- "alternative fuels"
"combustion" -- "laser diagnostics"
"combustion" -- "energy"
"combustion" -- "internal combustion engines"
"combustion" -- "fire"
"combustion" -- "propulsion"
"combustion" -- "plasma"
"combustion" -- "gasification"
"bioanalytical chemistry" -- "mass spectrometry"
"developmental" -- "regenerative biology"
"adaptive control" -- "nonlinear control"
"strategic management" -- "entrepreneurship"
"lymphoma" -- "leukemia"
"international law" -- "environmental law"
"international law" -- "human rights"
"sociology of religion" -- "religion"
"open source software" -- "free will"
"insects" -- "evolution"
"evolutionary genomics" -- "bioinformatics"
"international" -- "comparative education"
"applied mechanics" -- "materials science"
"malaria" -- "infectious diseases"
"security studies" -- "international relations"
"aerosol science" -- "air pollution"
"pharmacogenomics" -- "pharmacogenetics"
"pharmacogenomics" -- "personalized medicine"
"stable isotopes" -- "biogeochemistry"
"ancient dna" -- "population genetics"
"chromatography" -- "analytical chemistry"
"economics" -- "natural resources"
"economics" -- "economic history"
"economics" -- "industrial organization"
"economics" -- "social science"
"economics" -- "econometrics"
"economics" -- "law"
"economics" -- "finance"
"business process management" -- "process mining"
"business process management" -- "information systems"
"fault detection" -- "diagnosis"
"fault detection" -- "fault tolerant control"
"cosmochemistry" -- "geochemistry"
"environmental toxicology" -- "environmental chemistry"
"health informatics" -- "ehealth"
"health informatics" -- "data mining"
"social media" -- "digital media"
"social media" -- "online communities"
"social media" -- "digital culture"
"social media" -- "public relations"
"social media" -- "computer-mediated communication"
"social media" -- "internet"
"social media" -- "social networks"
"social media" -- "digital"
"social media" -- "web 2.0"
"social media" -- "mobile technology"
"social media" -- "political participation"
"social media" -- "new media"
"dopamine" -- "neuroscience"
"organic geochemistry" -- "biogeochemistry"
"infection" -- "immunology"
"infection" -- "immunity"
"traffic engineering" -- "transportation planning"
"brain development" -- "neuroimaging"
"labour economics" -- "applied microeconometrics"
"labour economics" -- "economics of education"
"electronic engineering" -- "electrical"
"structural engineering" -- "earthquake engineering"
"structural engineering" -- "reinforced concrete"
"structural engineering" -- "steel structures"
"structural engineering" -- "civil engineering"
"language learning" -- "applied linguistics"
"birds" -- "ecology"
"landscape" -- "archaeology"
"scientific computing" -- "numerical analysis"
"masculinity" -- "gender"
"prosocial behavior" -- "social cognition"
"environmental monitoring" -- "remote sensing"
"impact" -- "composites"
"smart grid" -- "electric vehicles"
"smart grid" -- "demand response"
"smart grid" -- "distributed generation"
"smart grid" -- "power systems"
"knowledge discovery" -- "data mining"
"robotics" -- "control theory"
"robotics" -- "slam"
"robotics" -- "autonomous vehicles"
"robotics" -- "state estimation"
"robotics" -- "control engineering"
"robotics" -- "nonlinear control"
"robotics" -- "human-robot interaction"
"robotics" -- "biomimetics"
"robotics" -- "robust control"
"robotics" -- "path planning"
"robotics" -- "automatic control"
"robotics" -- "biomechanics"
"robotics" -- "autonomous systems"
"robotics" -- "haptics"
"robotics" -- "localization"
"robotics" -- "automation"
"robotics" -- "intelligent control"
"robotics" -- "computer vision"
"robotics" -- "control"
"robotics" -- "unmanned aerial vehicles"
"robotics" -- "prosthetics"
"robotics" -- "mechatronics"
"robotics" -- "motion planning"
"robotics" -- "control systems"
"robotics" -- "medical robotics"
"robotics" -- "navigation"
"robotics" -- "uav"
"robotics" -- "sensor fusion"
"robotics" -- "kinematics"
"robotics" -- "rehabilitation robotics"
"robotics" -- "distributed control"
"prostate cancer" -- "breast cancer"
"statistical genetics" -- "bioinformatics"
"statistical genetics" -- "genetic epidemiology"
"physical education" -- "health"
"rehabilitation engineering" -- "biomechanics"
"image registration" -- "medical image analysis"
"quantum optics" -- "nanophotonics"
"quantum optics" -- "nonlinear optics"
"quantum optics" -- "quantum information"
"quantum optics" -- "optomechanics"
"quantum optics" -- "ultracold atoms"
"quantum optics" -- "atomic physics"
"quantum optics" -- "integrated photonics"
"quantum optics" -- "quantum communication"
"quantum optics" -- "quantum information theory"
"gpu" -- "fpga"
"educational research" -- "assessment"
"retina" -- "ophthalmology"
"discrete element method" -- "granular materials"
"discrete element method" -- "rock mechanics"
"reaction engineering" -- "catalysis"
"cancer genomics" -- "bioinformatics"
"optimization" -- "process control"
"optimization" -- "energy systems"
"optimization" -- "stochastics"
"optimization" -- "reliability"
"optimization" -- "process design"
"optimization" -- "model predictive control"
"optimization" -- "power systems"
"optimization" -- "system design"
"optimization" -- "simulation"
"optimization" -- "statistical machine learning"
"optimization" -- "optimal control"
"optimization" -- "machine learning"
"optimization" -- "process systems engineering"
"optimization" -- "game theory"
"applied probability" -- "statistics"
"applied probability" -- "queueing theory"
"applied probability" -- "stochastic modeling"
"materials design" -- "computational materials science"
"lipids" -- "nutrition"
"health economics" -- "outcomes research"
"health economics" -- "economic evaluation"
"health economics" -- "labor economics"
"health economics" -- "health policy"
"music" -- "musicology"
"music" -- "language"
"music" -- "music education"
"forensics" -- "psychology"
"communication systems" -- "signal processing"
"ultrafast optics" -- "nonlinear optics"
"cancer immunotherapy" -- "immunology"
"ct" -- "pet"
"autism" -- "developmental disabilities"
"autism" -- "adhd"
"autism" -- "behavior analysis"
"autism" -- "special education"
"autism" -- "neuroscience"
"sexual assault" -- "intimate partner violence"
"sexual assault" -- "trauma"
"public management" -- "public administration"
"financial engineering" -- "risk management"
"fluids" -- "heat transfer"
"machine vision" -- "artificial intelligence"
"networked control systems" -- "multi-agent systems"
"computational biophysics" -- "computational chemistry"
"collaboration" -- "innovation"
"surveillance" -- "privacy"
"biofilms" -- "microbiology"
"marine microbiology" -- "microbial ecology"
"plasticity" -- "neuroscience"
"geoscience" -- "geology"
"plant pathology" -- "mycology"
"plant pathology" -- "plant-microbe interactions"
"electrical machines" -- "power electronics"
"hypoxia" -- "cancer"
"hypoxia" -- "pulmonary hypertension"
"microgrids" -- "power electronics"
"theoretical ecology" -- "community ecology"
"metacognition" -- "memory"
"phenotypic plasticity" -- "evolution"
"nanoscience" -- "nanochemistry"
"nanoscience" -- "molecular electronics"
"behavior" -- "evolution"
"probabilistic graphical models" -- "machine learning"
"medicine" -- "biology"
"medicine" -- "medicina"
"medicine" -- "surgery"
"metaphysics" -- "epistemology"
"metaphysics" -- "philosophy of mind"
"metaphysics" -- "philosophy of science"
"metaphysics" -- "philosophy of religion"
"antibiotics" -- "microbiology"
"development" -- "trade"
"development" -- "training"
"development" -- "labor"
"development" -- "evolution"
"development" -- "growth"
"development" -- "ict4d"
"development" -- "africa"
"space weather" -- "space physics"
"social" -- "personality psychology"
"social" -- "cultural anthropology"
"social" -- "political philosophy"
"sensor networks" -- "wireless networks"
"astroparticle physics" -- "cosmology"
"oncology" -- "immunology"
"oncology" -- "urology"
"oncology" -- "hematology"
"activism" -- "social movements"
"web science" -- "semantic web"
"cinema" -- "film"
"química" -- "medicina"
"química" -- "física"
"insulin resistance" -- "diabetes"
"water quality" -- "hydrology"
"operating systems" -- "distributed systems"
"operating systems" -- "storage systems"
"financial mathematics" -- "statistics"
"environmental justice" -- "climate change"
"host-microbe interactions" -- "microbiology"
"polymer processing" -- "rheology"
"geriatrics" -- "gerontology"
"nanomedicine" -- "molecular imaging"
"nanomedicine" -- "nanotoxicology"
"nanomedicine" -- "drug delivery"
"war" -- "international relations"
"monetary economics" -- "macroeconomics"
"aeroacoustics" -- "fluid mechanics"
"fmri" -- "eeg"
"fmri" -- "connectivity"
"fmri" -- "dti"
"fmri" -- "neuroscience"
"fmri" -- "tms"
"pyrolysis" -- "biomass"
"telehealth" -- "telemedicine"
"science education" -- "physics education research"
"science education" -- "teacher education"
"science education" -- "learning sciences"
"science education" -- "stem education"
"science education" -- "engineering education"
"science education" -- "environmental education"
"taxation" -- "accounting"
"ultrafast lasers" -- "nonlinear optics"
