"epistemology" -- "metaphysics"
"nanoscience" -- "nanotechnology"
"exercise physiology" -- "nutrition"
"atmospheric science" -- "meteorology"
"inorganic chemistry" -- "catalysis"
"inorganic chemistry" -- "materials chemistry"
"motivation" -- "emotion"
"fluid mechanics" -- "turbulence"
"fluid mechanics" -- "aerodynamics"
"fluid mechanics" -- "heat transfer"
"condensed matter theory" -- "physics"
"network science" -- "complex systems"
"energy economics" -- "environmental economics"
"housing" -- "urban planning"
"social networks" -- "data mining"
"law" -- "economics"
"computer science" -- "artificial intelligence"
"computer science" -- "software engineering"
"parasitology" -- "immunology"
"metaphysics" -- "philosophy"
"metaphysics" -- "philosophy of mind"
"metaphysics" -- "philosophy of science"
"neuroimaging" -- "schizophrenia"
"neuroimaging" -- "neuroscience"
"databases" -- "data mining"
"databases" -- "data management"
"solid state physics" -- "materials science"
"aquaculture" -- "fisheries"
"tectonics" -- "geology"
"tectonics" -- "structural geology"
"population genetics" -- "evolution"
"population genetics" -- "molecular ecology"
"media studies" -- "communication"
"media studies" -- "cultural studies"
"nanophotonics" -- "plasmonics"
"nanophotonics" -- "quantum optics"
"lasers" -- "optics"
"automation" -- "robotics"
"semiconductors" -- "nanotechnology"
"physical chemistry" -- "photochemistry"
"physical chemistry" -- "biophysics"
"physical chemistry" -- "spectroscopy"
"physical chemistry" -- "computational chemistry"
"medicine" -- "biology"
"medicine" -- "surgery"
"water quality" -- "hydrology"
"risk" -- "resilience"
"turbulence" -- "computational fluid dynamics"
"turbulence" -- "fluid dynamics"
"gender" -- "family"
"gender" -- "inequality"
"gender" -- "work"
"gender" -- "politics"
"gender" -- "globalization"
"gender" -- "qualitative research"
"gender" -- "migration"
"gender" -- "race"
"gender" -- "sexuality"
"gender" -- "social movements"
"gender" -- "youth"
"gender" -- "diversity"
"gender" -- "sport"
"gender" -- "culture"
"gender" -- "education"
"gender" -- "identity"
"control" -- "dynamics"
"control" -- "system identification"
"control" -- "robotics"
"control" -- "dynamical systems"
"public administration" -- "governance"
"public administration" -- "public policy"
"mobile" -- "transportation"
"mathematics" -- "mathematical physics"
"mathematics" -- "physics"
"mechanical engineering" -- "materials science"
"research methods" -- "statistics"
"human-computer interaction" -- "user experience"
"human-computer interaction" -- "interaction design"
"human-computer interaction" -- "ubiquitous computing"
"human-computer interaction" -- "artificial intelligence"
"human-computer interaction" -- "information visualization"
"human-computer interaction" -- "social computing"
"electrophysiology" -- "cardiology"
"electrophysiology" -- "neuroscience"
"mycology" -- "plant pathology"
"mycology" -- "microbiology"
"media effects" -- "health communication"
"media effects" -- "political communication"
"polymer chemistry" -- "organic chemistry"
